City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Tazacorte,28.629,-17.9293,68.97,82,75,6.91,ES,1714137612
81,Whitehorse,60.7161,-135.0538,29.17,74,20,5.75,CA,1714137613
82,Happy Valley-Goose Bay,53.3168,-60.3315,25.11,63,75,8.05,CA,1714137615
83,Isafjordur,66.0755,-23.124,37.44,93,100,2.3,IS,1714137617
84,Yellowknife,62.456,-114.3525,8.42,81,20,12.66,CA,1714137538
85,Kununurra,-15.7667,128.7333,73.38,73,0,0.0,AU,1714137621
86,Afaahiti,-17.75,-149.2833,76.87,84,88,11.27,PF,1714137627
87,Burang,30.25,81.1667,34.65,57,70,8.21,CN,1714137629
88,Maricá,-22.9194,-42.8186,80.55,77,85,10.56,BR,1714137484
89,Port Blair,11.6667,92.75,87.84,74,40,2.3,IN,1714137633
90,Boromo,11.75,-2.9333,103.93,24,3,5.91,BF,1714137634
91,Fish Town,5.1964,-7.8756,95.77,43,50,4.52,LR,1714137636
92,Mukalla,14.5425,49.1242,84.63,62,0,7.18,YE,1714137638
93,Ushuaia,-54.8,-68.3,33.46,100,100,20.71,AR,1714137640
94,Mendi,-6.1761,143.6513,58.62,99,100,1.77,PG,1714137642
95,Arraial do Cabo,-22.9661,-42.0278,78.76,65,75,11.5,BR,1714137391
96,Solwezi,-12.1688,26.3894,77.85,32,24,8.72,ZM,1714137646
97,Skellefteå,64.7507,20.9528,37.76,65,75,12.66,SE,1714137390
98,Nova Sintra,14.8667,-24.7167,73.53,85,93,16.78,CV,1714137376
99,Revda,56.801,59.9303,54.79,51,100,2.1,RU,1714137652
100,Chonchi,-42.6128,-73.8092,43.12,75,21,9.08,CL,1714137654
101,Mutuáli,-14.8706,37.0044,83.79,36,93,2.13,MZ,1714137656
102,Usinsk,65.9939,57.5281,35.08,100,100,11.99,RU,1714137658
103,Gubakha,58.8386,57.5532,47.16,89,100,5.84,RU,1714137659
104,Lebu,-37.6167,-73.65,53.08,72,100,9.53,CL,1714137385
105,San Antonio de Palé,-1.4014,5.6325,83.91,77,100,9.04,GQ,1714137663
106,Martapura,-3.4167,114.85,80.69,94,20,5.75,ID,1714137665
107,Guichon,-32.35,-57.2,70.84,94,100,5.26,UY,1714137667
108,Motueka,-41.1333,173.0167,44.1,77,2,6.02,NZ,1714137669
109,Sauðarkrokur,65.7461,-19.6394,36.57,77,21,7.85,IS,1714137670
110,Lamesa,32.7376,-101.951,62.38,30,0,15.7,US,1714137672
111,Tambopata,-12.7333,-69.1833,82.29,83,20,8.05,PE,1714137674
112,Argos,37.6333,22.7333,70.63,32,0,10.67,GR,1714137676
113,Igarka,67.4667,86.5833,29.01,84,100,8.99,RU,1714137678
114,Carnarvon,-24.8667,113.6333,76.84,64,0,12.48,AU,1714137680
115,Nogliki,51.8333,143.1667,46.35,68,100,8.01,RU,1714137682
116,Priozersk,61.0393,30.1291,48.99,87,100,7.83,RU,1714137684
117,I-n-Salah,27.1935,2.4607,100.04,4,49,23.71,DZ,1714137685
118,Bodø,67.28,14.405,48.24,41,0,5.01,NO,1714137687
119,Dubbo,-32.25,148.6167,51.93,76,0,9.22,AU,1714137689
120,Robertsport,6.7533,-11.3686,83.82,76,3,8.5,LR,1714137691
121,Saquarema,-22.92,-42.5103,78.94,76,82,11.43,BR,1714137693
122,Noril'sk,69.3535,88.2027,23.41,95,100,4.56,RU,1714137695
123,Rémire-Montjoly,4.9167,-52.2667,86.04,66,40,10.36,GF,1714137696
124,Ancud,-41.8697,-73.8203,47.34,69,36,19.64,CL,1714137698
125,Villa Yapacaní,-17.4,-63.8333,76.06,98,99,6.38,BO,1714137700
126,Tura,25.5198,90.2201,87.78,14,0,3.42,IN,1714137702
127,Lompoc,34.6391,-120.4579,55.29,84,100,17.27,US,1714137639
128,Sanctuary Point,-35.1114,150.629,59.76,84,17,5.21,AU,1714137706
129,Altamira,-3.2033,-52.2064,80.69,89,75,5.75,BR,1714137707
130,Stanley,54.868,-1.6985,49.59,63,99,8.93,GB,1714137613
131,Iskateley,67.6803,53.1512,32.02,97,100,13.0,RU,1714137711
132,Hammerfest,70.6634,23.6821,36.05,69,75,11.5,NO,1714137713
133,El Dorado,38.7666,-120.5177,46.63,97,100,3.0,US,1714137715
134,Kingston,17.997,-76.7936,87.17,62,20,4.61,JM,1714137717
135,Behompy,-23.2496,43.8557,83.12,61,0,9.89,MG,1714137721
136,Petropavlovsk-Kamchatskiy,53.0452,158.6483,43.39,94,100,8.99,RU,1714137722
137,Port Alfred,-33.5906,26.891,65.17,98,69,14.0,ZA,1714137724
138,Utrik,11.2278,169.8474,80.4,73,7,19.42,MH,1714137678
139,Talara,-4.5772,-81.2719,77.76,69,75,21.85,PE,1714137728
140,Chingirlau,51.095,54.0814,75.07,43,74,3.22,KZ,1714137732
141,Papatowai,-46.5619,169.4708,44.55,86,100,13.09,NZ,1714137734
142,Crescent City,41.756,-124.2018,53.49,99,100,6.91,US,1714137736
143,Pekan,3.4836,103.3996,84.31,83,44,3.65,MY,1714137737
144,Mitú,1.1983,-70.1733,76.23,96,100,1.32,CO,1714137739
145,Murzuk,25.9155,13.9184,94.73,9,8,15.19,LY,1714137741
146,Sinabang,2.4803,96.3801,82.74,81,51,2.39,ID,1714137743
147,Cologne,50.9333,6.95,57.42,64,20,8.05,DE,1714137514
148,Abdulino,53.7,53.6667,68.72,35,100,8.46,RU,1714137747
149,San Blas,21.5167,-105.2667,66.09,53,100,4.52,MX,1714137749
150,Moa,20.6569,-74.9403,78.17,83,53,10.02,CU,1714137750
151,Minzhu,43.7286,127.3447,56.55,53,100,1.74,CN,1714137752
152,St. John's,47.5649,-52.7093,40.96,68,75,10.36,CA,1714137634
153,High River,50.5834,-113.8687,38.75,70,100,12.24,CA,1714137756
154,Tiksi,71.6872,128.8694,1.76,97,100,7.63,RU,1714137758
155,Uttarkāshi,30.7333,78.45,68.85,24,0,2.68,IN,1714137759
156,Vizinga,61.0749,50.1031,52.99,92,100,8.46,RU,1714137761
157,Port Elizabeth,-33.918,25.5701,68.29,83,75,8.05,ZA,1714137763
158,Chinde,26.8418,88.0763,72.57,21,0,7.94,NP,1714137765
159,Nova Olinda do Norte,-3.8881,-59.0942,77.09,89,100,3.04,BR,1714137767
160,Bilky,48.315,23.1325,61.54,47,13,7.07,UA,1714137769
161,Lusaka,-15.4067,28.2871,82.26,27,0,9.98,ZM,1714137771
162,Balykchy,42.4557,76.1861,53.82,64,100,9.17,KG,1714137773
163,Sandnessjøen,66.0217,12.6316,48.72,40,20,9.22,NO,1714137774
164,Laojunmiao,39.8333,97.7333,60.62,26,18,6.98,CN,1714137776
165,Turabah,21.2141,41.6331,82.02,25,76,13.27,SA,1714137778
166,Dudinka,69.4058,86.1778,23.68,88,100,8.99,RU,1714137780
167,Takoradze,4.8845,-1.7554,88.27,66,99,11.48,GH,1714137782
168,Trairi,-3.2778,-39.2689,79.72,82,100,7.18,BR,1714137519
